Rank;Country;Age;Birthday;Weight;Height;WL_17;T17;Earn17;Career_high;WL_career;T_career;Earn_career
MatsMoraing;273;GER;25;1992.06.20;84;198;0-0;0;30,414;256;0-0;0;67,327
KonstantinKravchuk;274;RUS;32;1985.02.23;80;191;2-12;0;233,163;78;10-28;0;1,031,708
DanielAltmaier;275;GER;19;1998.09.12;88;191;2-3;0;53,376;210;2-3;0;82,081
OmarJasika;276;AUS;20;1997.05.18;60;183;0-1;0;70,175;239;1-3;0;227,419
MaxPurcell;277;AUS;19;1998.04.03;75;185;0-1;0;16,179;223;0-1;0;77,357
JorisDeLoore;278;BEL;24;1993.04.21;86;191;0-1;0;85,841;174;1-2;0;192,682
RobertoQuiroz;279;ECU;25;1992.02.23;88;193;1-1;0;8,317;188;1-9;0;133,857
BlakeMott;280;AUS;21;1996.04.21;77;180;0-1;0;75,995;220;0-1;0;141,625
YusukeTakahashi;281;JPN;20;1997.10.17;68;170;0-1;0;42,146;238;0-1;0;60,549
BrydanKlein;282;GBR;27;1989.12.31;83;188;0-2;0;29,321;118;1-10;0;655,295
LaurynasGrigelis;283;LTU;26;1991.08.14;76;183;2-1;0;7,615;132;7-8;0;278,388
MatteoViola;284;ITA;30;1987.07.07;80;185;0-0;0;30,264;118;4-11;0;575,596
ChristopherHeyman;285;BEL;24;1993.10.08;90;191;0-0;0;23,648;285;0-0;0;52,647
JoseHernandez-Fernandez;286;DOM;27;1990.03.13;77;183;2-2;0;37,157;179;11-14;0;173,398
DavidGuez;287;FRA;35;1982.12.08;75;185;0-0;0;25,542;116;2-16;0;770,586
IvanNedelko;288;RUS;31;1986.05.12;;;0-0;0;32,475;261;0-2;0;148,820
AlexanderWard;289;GBR;27;1990.04.30;85;185;0-1;0;73,225;242;0-4;0;254,272
DanielMunozdelaNava;290;ESP;35;1982.01.29;75;178;0-0;0;29,728;68;9-28;0;1,080,506
LloydHarris;291;RSA;20;1997.02.24;80;196;6-2;0;38,895;199;8-4;0;72,298
RubinStatham;290;NZL;30;1987.04.25;80;180;0-1;0;11,302;139;1-10;0;271,603
IvanGakhov;293;RUS;21;1996.11.04;83;193;0-0;0;8,734;210;0-0;0;72,367
FrankoSkugor;294;CRO;30;1987.09.20;96;198;2-5;0;54,997;145;6-18;0;626,578
MarcosGiron;295;USA;24;1993.07.24;77;180;0-0;0;49,815;238;0-2;0;162,477
JanChoinski;296;GER;21;1996.06.10;80;196;0-0;0;23,810;288;0-1;0;62,514
DanielElahiGalan;297;COL;21;1996.06.18;72;191;0-0;0;25,853;237;1-1;0;78,401
AntePavic;298;CRO;28;1989.03.07;96;196;0-1;0;30,132;132;3-11;0;372,897
YoussefHossam;299;EGY;19;1998.06.03;75;178;0-0;0;22,906;291;0-1;0;31,421
MaverickBanes;300;AUS;25;1992.04.10;;;0-0;0;29,951;270;0-0;0;122,783
GeoffreyBlancaneaux;301;FRA;19;1998.08.08;68;178;0-1;0;86,426;289;0-1;0;110,636
NinoSerdarusic;302;CRO;21;1996.12.13;79;188;0-0;0;7,577;212;0-2;0;71,494
ChristianLindell;303;SWE;26;1991.11.20;87;193;2-0;0;24,909;177;7-14;0;252,542
BernabeZapataMiralles;304;ESP;20;1997.01.12;73;185;0-0;0;32,460;278;0-0;0;61,379
DominikKoepfer;305;GER;23;1994.04.29;82;180;0-1;0;30,235;239;0-1;0;48,866
StevenDiez;306;CAN;26;1991.03.17;;;0-1;0;68,886;162;1-6;0;353,862
YannickMertens;307;BEL;30;1987.06.25;72;188;0-0;0;34,027;179;1-2;0;447,579
FedericoCoria;308;ARG;25;1992.03.09;73;180;0-0;0;6,635;275;0-0;0;138,656
RobertoOrtega-Olmedo;309;ESP;26;1991.04.30;;;0-0;0;9,319;236;0-0;0;159,116
MartinCuevas;310;URU;25;1992.01.14;;;0-0;0;23,622;308;3-14;0;100,786
ChristianGarin;311;CHI;21;1996.05.30;85;185;2-2;0;87,774;187;10-13;0;205,798
MarkusEriksson;312;SWE;28;1989.11.29;80;188;1-0;0;5,952;290;2-3;0;135,421
YibingWu;313;CHN;18;1999.10.14;73;183;1-2;0;18,084;304;1-2;0;83,076
AntoineHoang;314;FRA;22;1995.11.04;71;183;0-0;0;6,724;246;0-0;0;60,011
HernanCasanova;315;ARG;23;1994.02.06;76;178;0-0;0;23,119;309;0-0;0;69,423
ConstantLestienne;316;FRA;25;1992.05.23;72;180;0-0;0;35,767;164;0-1;0;160,936
TristanLamasine;317;FRA;24;1993.03.05;69;183;0-2;0;19,216;85;1-8;0;341,736
MichaelLinzer;318;AUT;28;1989.11.02;77;180;0-0;0;27,876;236;0-2;0;159,549
TiChen;319;TPE;34;1983.10.03;73;178;1-0;0;11,141;119;3-4;0;506,170
DanielBrands;320;GER;30;1987.07.17;92;196;1-4;0;97,964;51;59-91;0;2,037,887
FilipHoransky;321;SVK;24;1993.01.07;;;0-0;0;23,635;300;0-0;0;98,476
BradleyMousley;322;AUS;21;1996.01.03;82;188;3-2;0;52,070;97;3-2;0;132,531
MarcPolmans;323;AUS;20;1997.05.02;78;188;5-6;0;100,301;68;5-6;0;245,250
MarselIlhan;324;TUR;30;1987.06.11;80;191;3-2;0;31,216;77;33-57;0;1,344,611
MiljanZekic;325;SRB;29;1988.07.12;79;185;1-2;0;63,749;188;1-2;0;218,910
EvgenyKarlovskiy;326;RUS;23;1994.08.07;85;191;0-0;0;22,293;318;0-0;0;73,477
NicolaasScholtz;327;RSA;26;1991.02.05;;;3-2;0;20,861;320;5-6;0;84,246
CarlosBoluda-Purkiss;328;ESP;24;1993.01.22;69;173;0-0;0;20,355;328;0-0;0;76,938
JeremyJahn;329;GER;27;1990.04.05;73;178;0-0;0;43,210;197;0-0;0;108,450
InigoCervantes;330;ESP;28;1989.11.30;78;183;0-1;0;8,304;105;7-14;0;1,047,395
MarioVilellaMartinez;331;ESP;22;1995.07.03;74;178;0-0;0;25,411;329;0-0;0;66,026
SebastianFanselow;332;GER;25;1991.12.30;;;0-0;0;23,081;323;0-0;0;52,034
AndreaBasso;333;ITA;24;1993.10.08;72;185;0-0;0;22,597;319;0-0;0;63,543
DanielDutradaSilva;334;BRA;29;1988.07.05;76;;0-0;0;19,713;231;0-1;0;169,301
GianluigiQuinzi;335;ITA;21;1996.02.01;84;191;1-4;0;80,601;226;1-4;0;165,853
IvanDodig;336;CRO;32;1985.01.02;83;183;43-23;3;700,130;4;218-151;9;6,350,790
TimPuetz;337;GER;30;1987.11.19;78;185;2-3;0;23,368;115;2-3;0;283,065
DanielNguyen;338;USA;27;1990.10.16;73;173;0-0;0;29,676;189;0-0;0;179,790
RaymondSarmiento;339;USA;25;1992.07.24;68;178;0-0;0;36,977;287;0-0;0;79,701
AxelMichon;340;FRA;27;1990.12.16;;;0-0;0;20,682;177;1-1;0;341,918
JasonKubler;341;AUS;24;1993.05.19;74;178;0-0;0;19,737;136;1-2;0;157,448
ZhizhenZhang;342;CHN;21;1996.10.16;87;193;3-1;0;42,285;335;4-2;0;103,785
RiccardoBellotti;343;ITA;26;1991.08.05;;;0-1;0;61,153;199;0-1;0;177,849
YannickJankovits;344;FRA;30;1987.01.06;72;;0-0;0;6,661;226;0-0;0;122,264
AlessandroBega;345;ITA;26;1991.01.11;68;173;0-1;0;31,130;259;0-1;0;127,957
MaximeHamou;346;FRA;22;1995.06.08;75;185;0-1;0;55,974;211;0-3;0;162,905
ChristopherEubanks;347;USA;21;1996.05.05;82;201;2-3;0;97,890;295;2-5;0;146,281
DanielMasur;348;GER;23;1994.11.06;79;183;0-2;0;74,414;203;0-2;0;143,804
HirokiMoriya;349;JPN;27;1990.10.16;65;170;0-0;0;75,274;143;2-9;0;588,755
ScottGriekspoor;350;NED;26;1991.01.10;80;188;0-0;0;18,022;282;0-0;0;65,668
KaichiUchida;351;JPN;23;1994.08.23;;;0-0;0;26,410;348;0-0;0;81,394
JanSatral;352;CZE;27;1990.07.24;82;188;0-2;0;95,111;136;1-4;0;317,315
RajeevRam;353;USA;33;1984.03.18;82;193;35-22;4;478,530;11;214-193;14;4,092,933
RadekStepanek;354;CZE;39;1978.11.27;76;185;3-2;0;94,064;8;384-302;5;11,343,464
FredericoFerreiraSilva;355;POR;22;1995.03.18;;;2-1;0;24,474;231;4-5;0;127,539
YosukeWatanuki;356;JPN;19;1998.04.12;63;180;0-0;0;19,866;343;0-0;0;31,500
AlexandreMuller;357;FRA;20;1997.02.01;73;180;0-1;0;61,832;302;0-1;0;91,027
EdwardCorrie;358;GBR;29;1988.02.21;;;0-0;0;29,512;215;0-1;0;215,289
AndreaPellegrino;359;ITA;20;1997.03.23;75;185;0-0;0;6,685;336;0-0;0;52,351
CarlosGomez-Herrera;360;ESP;27;1990.04.30;85;191;0-0;0;4,592;355;0-1;0;97,394
JuanIgnacioGalarza;361;ARG;23;1994.03.18;81;183;0-0;0;16,944;334;0-0;0;73,126
JuanIgnacioLondero;362;ARG;24;1993.08.15;70;180;0-0;0;9,833;209;0-0;0;186,668
FrankDancevic;363;CAN;33;1984.09.26;79;185;1-1;0;57,529;65;69-111;0;1,844,432
JoaoPedroSorgi;364;BRA;24;1993.10.18;82;188;0-0;0;25,921;251;0-0;0;98,598
LucasCatarina;365;MON;21;1996.08.26;;;1-3;0;20,945;365;2-3;0;35,027
DanielGimeno-Traver;366;ESP;32;1985.08.07;80;183;0-1;0;32,878;48;97-172;0;3,159,310
JamesMcGee;367;IRL;30;1987.06.10;80;183;0-0;0;69,543;146;9-10;0;380,510
ShuichiSekiguchi;368;JPN;26;1991.07.15;66;168;0-0;0;21,446;259;0-0;0;131,437
LennyHampel;369;AUT;21;1996.12.24;78;188;0-0;0;19,347;359;0-0;0;48,081
MarcGiner;370;ESP;26;1991.06.18;76;183;0-0;0;20,938;245;0-0;0;130,059
AlbanoOlivetti;371;FRA;26;1991.11.24;104;203;1-2;0;15,655;103;3-11;0;404,276
ThiemodeBakker;372;NED;29;1988.09.19;83;193;1-2;0;14,658;40;69-91;0;1,719,418
AlejandroGonzalez;373;COL;28;1989.02.07;83;191;0-2;0;63,239;70;16-40;0;1,058,605
N.SriramBalaji;374;IND;27;1990.03.18;72;180;1-1;0;20,092;132;3-6;0;157,224
FacundoMena;375;ARG;25;1992.09.22;85;183;0-0;0;4,797;268;0-0;0;108,049
DzmitryZhyrmont;376;BLR;28;1989.03.01;85;188;0-2;0;22,039;201;6-9;0;191,190
MarinkoMatosevic;377;AUS;32;1985.08.08;86;193;0-0;0;24,958;39;63-95;0;2,029,540
HiroyasuEhara;378;JPN;26;1991.06.18;;;0-0;0;16,103;330;0-0;0;75,974
SoraFukuda;379;JPN;20;1997.10.03;72;183;0-0;0;15,328;378;0-0;0;26,381
FilippoBaldi;380;ITA;21;1996.01.10;79;183;0-0;0;16,097;369;0-0;0;48,792
UgoHumbert;381;FRA;19;1998.06.26;68;188;0-0;0;22,486;368;0-0;0;29,706
YannickVandenbulcke;382;BEL;27;1990.07.18;85;193;0-0;0;17,280;378;0-0;0;58,737
JuanPabloFicovich;383;ARG;20;1997.01.24;78;191;0-0;0;19,104;352;0-0;0;42,314
DimitarKuzmanov;384;BUL;24;1993.07.28;72;183;0-1;0;20,248;281;6-6;0;96,172
MaximeJanvier;385;FRA;21;1996.10.18;80;193;0-0;0;51,004;228;0-0;0;125,660
AntoineEscoffier;386;FRA;25;1992.02.29;;;0-0;0;17,421;386;0-0;0;63,964
OriolRocaBatalla;387;ESP;24;1993.04.30;;;0-0;0;16,098;193;0-0;0;151,896
PetrMichnev;388;CZE;28;1989.08.03;82;188;0-0;0;37,493;229;0-0;0;76,269
RentaTokuda;389;JPN;19;1998.03.29;69;178;0-0;0;16,206;389;0-0;0;26,634
GerardGranollers;390;ESP;28;1989.01.30;;;0-0;0;5,502;144;0-4;0;300,867
PatricioHeras;391;ARG;28;1989.01.21;75;183;0-0;0;12,351;269;0-0;0;95,452
MaximoGonzalez;392;ARG;34;1983.07.20;75;175;1-1;0;65,665;58;30-60;0;1,862,417
YaraslavShyla;394;BLR;24;1993.03.05;85;193;1-1;0;7,443;164;2-1;0;112,732
LucasMiedler;395;AUT;21;1996.06.21;77;180;0-1;0;8,816;204;0-2;0;79,865
SergioGutierrez-Ferrol;396;ESP;28;1989.03.05;;;0-0;0;16,368;173;2-2;0;158,961
AlejandroFalla;397;COL;34;1983.11.14;77;185;1-1;0;22,400;48;114-169;0;3,101,331
SanjarFayziev;398;UZB;23;1994.07.29;73;0;0-3;0;21,740;253;0-5;0;78,160
AlexandarLazov;399;BUL;27;1990.07.09;69;183;1-1;0;5,365;314;4-2;0;95,857
ElliotBenchetrit;400;FRA;19;1998.10.02;80;193;0-0;0;16,602;400;0-0;0;21,825
GonzaloEscobar;401;ECU;28;1989.01.20;;;1-2;0;7,997;183;2-3;0;98,346
PolToledoBague;402;ESP;23;1994.12.22;71;178;0-0;0;7,867;204;0-0;0;67,445
GonzaloLama;403;CHI;24;1993.04.27;82;180;0-0;0;11,888;160;8-3;0;155,450
EduardEsteveLobato;404;ESP;23;1994.09.18;81;191;0-0;0;15,233;404;0-0;0;54,349
MarcSieber;405;GER;29;1988.02.28;68;178;0-0;0;17,131;236;0-0;0;111,993
MaximilianNeuchrist;406;AUT;26;1991.07.22;;;0-1;0;8,400;135;2-3;0;136,429
ShintaroImai;407;JPN;24;1993.09.07;74;178;0-0;0;5,852;263;0-0;0;36,765
MarianoKestelboim;408;ARG;21;1996.02.06;79;188;0-0;0;14,710;387;0-0;0;50,653
ViktorDurasovic;409;NOR;20;1997.03.19;;;1-1;0;4,405;385;1-4;0;45,603
JaredHiltzik;410;USA;23;1994.07.08;79;185;0-0;0;26,668;379;0-0;0;58,477
HugoGrenier;411;FRA;21;1996.03.23;85;196;0-0;0;15,871;406;0-0;0;40,025
RobertoCidSubervi;412;DOM;24;1993.08.30;82;193;0-1;0;14,619;412;2-7;0;29,556
LloydGlasspool;413;GBR;24;1993.11.19;85;191;0-0;0;19,695;282;0-0;0;69,984
JuanPabloPaz;414;ARG;22;1995.01.04;;170;1-1;0;6,262;327;1-1;0;79,090
RiccardoBonadio;415;ITA;24;1993.07.13;84;183;0-0;0;16,648;402;0-0;0;57,774
DavidPichler;416;AUT;21;1996.02.19;70;180;0-0;0;5,260;250;0-0;0;39,952
MikaelYmer;417;SWE;19;1998.09.09;75;183;2-5;0;60,150;310;5-9;0;118,628
MarcoChiudinelli;418;SUI;36;1981.09.10;85;185;2-5;0;92,614;52;52-98;0;2,023,620
KentoTakeuchi;419;JPN;30;1987.12.19;;;0-0;0;18,932;378;0-1;0;143,326
AdelchiVirgili;420;ITA;27;1990.03.10;;;0-0;0;15,358;394;0-0;0;48,055
BaptisteCrepatte;421;FRA;23;1994.09.21;73;185;0-0;0;14,352;421;0-0;0;24,322
ClementGeens;422;BEL;21;1996.03.11;68;180;0-0;0;14,616;245;0-0;0;57,061
FabrizioOrnago;423;ITA;25;1992.04.24;83;191;0-0;0;16,352;423;0-0;0;27,223
Cheong-EuiKim;424;KOR;27;1990.03.23;;;0-0;0;17,081;296;0-0;0;87,972
CristianRodriguez;425;COL;27;1990.06.24;76;180;0-0;0;4,640;286;0-0;0;59,475
SasiKumarMukund;426;IND;20;1997.01.14;76;185;0-0;0;19,350;396;0-0;0;47,397
AltugCelikbilek;427;TUR;21;1996.09.07;72;185;1-3;0;9,088;321;1-3;0;55,410
SamuelBensoussan;428;FRA;26;1991.11.18;;;0-0;0;16,477;428;0-0;0;43,505
LiamCaruana;429;ITA;19;1998.01.22;72;180;0-0;0;13,318;418;0-0;0;17,737
RubenRamirezHidalgo;430;ESP;39;1978.01.06;74;183;0-0;0;32,325;50;68-133;0;2,346,155
YanBai;431;CHN;28;1989.05.21;80;185;0-0;0;20,917;200;5-6;0;242,961
MateDelic;432;CRO;24;1993.04.29;86;196;0-0;0;14,153;150;3-12;0;184,816
BoyWesterhof;433;NED;32;1985.10.24;80;185;0-0;0;5,300;132;0-0;0;251,900
PawelCias;434;POL;23;1994.02.22;70;178;0-0;0;12,260;434;0-0;0;45,844
MarkoTepavac;435;SRB;23;1994.04.05;90;193;0-1;0;27,755;174;0-1;0;115,767
RobinKern;436;GER;24;1993.10.03;87;191;0-0;0;14,122;350;0-3;0;97,902
MichalKonecny;437;CZE;28;1989.10.13;78;183;0-0;0;16,373;285;0-0;0;160,021
FabienReboul;438;FRA;22;1995.09.09;80;188;0-0;0;3,285;238;0-0;0;42,666
RyanShane;439;USA;23;1994.04.15;89;193;0-0;0;16,687;424;0-1;0;89,402
GianlucaMager;440;ITA;23;1994.12.01;;;0-1;0;31,850;290;0-1;0;95,792
ThomasBrechemier;441;FRA;21;1996.06.28;72;178;0-0;0;13,747;399;0-0;0;26,593
AndrewHarris;442;AUS;23;1994.03.07;82;183;0-0;0;13,832;442;0-0;0;43,057
YannikReuter;443;BEL;26;1991.03.06;;;0-0;0;37,976;195;0-0;0;169,683
CorentinDenolly;444;FRA;20;1997.06.06;77;185;0-0;0;13,928;398;0-0;0;40,690
TomasLipovsekPuches;445;ARG;24;1993.04.17;;;0-0;0;8,380;214;0-1;0;115,401
AlexisMusialek;446;FRA;29;1988.07.04;80;183;0-0;0;14,481;255;0-0;0;83,154
SekouBangoura;447;USA;26;1991.11.18;77;183;0-1;0;50,346;213;0-1;0;216,126
BenjaminLock;448;ZIM;24;1993.03.04;86;201;0-0;0;8,279;239;1-0;0;42,823
GuillermoOlaso;449;ESP;29;1988.03.25;74;175;0-0;0;11,206;167;2-4;0;258,697
JohanTatlot;450;FRA;21;1996.03.26;80;180;0-0;0;11,156;315;0-0;0;65,794
JulesOkala;451;FRA;20;1997.08.18;94;193;0-0;0;13,293;439;0-0;0;25,161
AndreasHaider-Maurer;452;AUT;30;1987.03.22;89;191;0-3;0;117,807;47;45-70;0;1,755,614
DennisNevolo;453;USA;28;1989.12.22;;;0-0;0;14,012;345;0-0;0;82,484
VladyslavManafov;454;UKR;24;1993.04.22;;;0-0;0;11,418;190;0-0;0;90,052
EvgenyTyurnev;455;RUS;20;1997.04.08;;;0-1;0;21,661;368;0-1;0;67,342
AgustinVelotti;456;ARG;25;1992.05.24;;;0-1;0;29,228;166;0-4;0;271,594
NilsLanger;457;GER;27;1990.01.25;77;193;0-0;0;11,551;188;1-2;0;208,894
PavelKotov;458;RUS;19;1998.11.18;90;191;0-0;0;11,772;457;0-0;0;17,043
BoticVandeZandschulp;459;NED;22;1995.10.04;83;188;0-0;0;6,145;232;0-0;0;36,209
MaximeChazal;460;FRA;24;1993.04.24;;;0-0;0;15,290;234;0-0;0;107,267
AlessandroPetrone;461;ITA;27;1990.12.23;;;0-0;0;13,331;457;0-0;0;38,625
TomFarquharson;462;GBR;25;1992.02.12;;;0-0;0;12,505;429;0-0;0;35,094
SadioDoumbia;463;FRA;27;1990.09.12;78;183;0-0;0;4,672;241;0-0;0;79,194
SamBarry;464;IRL;25;1992.01.27;83;191;0-0;0;17,979;255;2-7;0;118,007
IgorSmilansky;465;ISR;22;1995.03.26;;;0-0;0;12,740;465;0-0;0;24,895
BrunoSantanna;466;BRA;24;1993.07.12;80;175;0-0;0;14,868;337;0-0;0;90,372
AleksandarVukic;467;AUS;21;1996.04.06;84;188;0-0;0;13,535;451;0-0;0;27,395
DragosDima;468;ROU;25;1992.06.16;70;180;0-1;0;12,180;286;0-1;0;59,638
LenyMitjana;469;FRA;23;1994.08.01;;;0-0;0;12,948;469;0-0;0;20,246
TakanyiGaranganga;470;ZIM;27;1990.09.06;80;185;0-0;0;14,460;288;3-3;0;99,120
GregoireJacq;471;FRA;25;1992.11.09;72;180;0-1;0;13,884;210;0-1;0;71,100
TakutoNiki;472;JPN;30;1987.10.12;73;183;0-0;0;6,181;293;0-0;0;129,277
AdrianBodmer;473;SUI;22;1995.03.06;73;180;0-1;0;5,183;338;0-1;0;29,480
PabloViveroGonzalez;474;ESP;22;1995.04.26;80;193;0-0;0;13,553;283;0-0;0;49,683
JanMertl;475;CZE;35;1982.01.03;84;191;0-0;0;13,381;163;2-1;0;597,668
AndresArtunedoMartinavarro;476;ESP;24;1993.09.14;75;183;0-0;0;12,069;293;0-1;0;74,452
NikolaCacic;477;SRB;27;1990.12.07;75;185;0-0;0;7,265;240;0-3;0;117,406
ChuhanWang;478;CHN;25;1992.02.24;75;188;0-0;0;19,980;365;1-2;0;111,225
MaximeTabatruong;479;FRA;28;1989.09.24;72;180;0-0;0;14,054;360;0-0;0;49,288
PedroSakamoto;480;BRA;24;1993.06.29;77;180;0-0;0;11,446;404;0-0;0;59,660
JonathanEysseric;481;FRA;27;1990.05.27;79;180;8-10;0;65,527;74;9-20;0;518,514
WishayaTrongcharoenchaikul;482;THA;22;1995.04.08;;;4-2;0;13,619;476;4-6;0;45,426
DavidPerezSanz;483;ESP;23;1994.05.15;;;0-0;0;6,084;158;0-0;0;126,324
FajingSun;484;CHN;21;1996.10.03;75;178;0-1;0;9,531;322;0-2;0;69,581
MarcoBortolotti;485;ITA;26;1991.01.21;72;175;0-0;0;6,278;202;0-0;0;93,676
JCAragone;486;USA;22;1995.06.28;79;178;0-1;0;59,260;411;0-1;0;65,464
DmitryTursunov;487;RUS;35;1982.12.12;82;185;1-5;0;174,837;20;231-218;7;5,920,125
MichalPrzysiezny;488;POL;33;1984.02.16;84;185;0-0;0;9,908;57;31-74;0;1,335,820
SamuelMonette;489;CAN;23;1994.01.14;84;180;0-0;0;14,681;483;0-0;0;25,578
RemiBoutillier;490;FRA;27;1990.01.15;75;188;0-0;0;10,245;235;0-0;0;73,431
NielsDesein;491;BEL;30;1987.06.09;85;191;0-0;0;11,328;154;0-3;0;398,234
PascalBrunner;492;AUT;28;1989.06.11;75;180;0-0;0;11,201;362;0-0;0;64,313
JuanPabloVarillas;493;PER;22;1995.10.06;78;185;0-2;0;12,790;413;1-5;0;37,753
JordiSamper-Montana;494;ESP;27;1990.04.05;;;0-0;0;28,846;179;0-1;0;293,140
CristianCarli;495;ITA;21;1996.03.25;78;185;0-0;0;4,145;459;0-0;0;33,285
AlejandroDavidovichFokina;496;ESP;18;1999.06.05;;;0-0;0;12,683;454;0-0;0;18,026
NamHoangLy;497;VIE;20;1997.02.25;69;175;2-0;0;11,580;462;3-2;0;26,168
RomanSafiullin;498;RUS;20;1997.08.07;75;185;0-1;0;17,334;314;0-1;0;47,321
AlexMolcan;499;SVK;20;1997.12.01;73;178;0-0;0;11,037;442;0-0;0;25,389
LaurentLokoli;500;FRA;23;1994.10.18;;;0-1;0;53,548;207;0-5;0;205,988
ThomasStatzberger;501;AUT;25;1992.09.27;80;183;0-0;0;12,813;501;0-0;0;35,108
EvanSong;502;USA;25;1992.06.07;75;178;0-0;0;15,813;499;0-0;0;53,471
JurijRodionov;503;AUT;18;1999.05.16;86;191;0-0;0;11,057;493;0-0;0;13,589
JulianLenz;504;GER;24;1993.02.17;82;188;0-0;0;11,845;504;0-0;0;31,195
ElmarEjupovic;505;GER;24;1993.02.01;90;193;0-0;0;12,433;499;0-0;0;27,978
AdrianUngur;506;ROU;32;1985.01.22;73;178;1-1;0;9,388;79;17-40;0;961,008
UlisesBlanch;507;USA;19;1998.03.25;79;185;0-0;0;13,570;507;0-0;0;16,213
EmilioGomez;508;ECU;26;1991.11.28;;;1-2;0;17,634;215;12-10;0;182,334
LorenzoFrigerio;509;ITA;28;1989.02.17;80;;0-0;0;13,935;375;0-0;0;53,471
JonathanMridha;510;SWE;22;1995.04.08;75;183;0-0;0;10,987;508;0-0;0;30,168
VishnuVardhan;511;IND;30;1987.07.27;84;188;0-2;0;25,751;116;2-5;0;187,524
PeterNagy;512;HUN;25;1992.03.17;73;180;0-0;0;11,088;409;3-3;0;42,219
GijsBrouwer;513;NED;21;1996.03.14;72;191;0-0;0;10,856;512;0-0;0;20,151
FredGil;514;POR;32;1985.03.24;75;173;0-1;0;9,447;105;23-35;1;1,441,779
ArtemSmirnov;515;UKR;29;1988.02.02;85;188;1-0;0;4,612;159;1-2;0;192,778
MickLescure;516;FRA;24;1993.06.02;72;183;0-0;0;11,835;496;0-0;0;52,854
MiguelSemmler;517;ESP;20;1997.05.02;64;180;0-0;0;3,788;460;0-0;0;39,390
EnzoCouacaud;518;FRA;22;1995.03.01;;;0-0;0;8,414;206;0-0;0;123,954
BenjaminBecker;519;GER;36;1981.06.16;72;178;0-3;0;60,768;35;153-220;1;4,399,584
Thai-SonKwiatkowski;520;USA;22;1995.02.13;75;188;0-2;0;63,937;520;0-2;0;89,250
LukeSaville;521;AUS;23;1994.01.02;83;188;0-0;0;25,195;152;2-6;0;478,558
IgorSijsling;522;NED;30;1987.08.18;85;191;0-0;0;29,494;52;50-90;0;2,150,767
PietroRondoni;523;ITA;24;1993.11.03;78;185;0-0;0;11,614;523;0-0;0;47,694
TomasPapik;524;CZE;23;1994.04.13;81;185;0-0;0;10,314;447;0-0;0;34,787
MoezEchargui;525;TUN;24;1993.01.10;75;180;2-0;0;12,543;498;2-1;0;23,094
NVijaySundarPrashanth;526;IND;31;1986.10.27;75;178;0-0;0;8,140;226;0-0;0;95,212
GianlucaDiNicola;527;ITA;22;1995.12.07;;;0-0;0;12,112;523;0-0;0;29,749
FelipeMantilla;528;COL;24;1993.05.10;38;;0-0;0;10,939;503;0-0;0;67,692
MorBulis;529;ISR;21;1996.04.18;72;183;0-1;0;10,342;529;0-1;0;25,830
Tung-LinWu;530;TPE;19;1998.05.12;75;188;1-1;0;13,112;530;1-1;0;23,856
TobiasSimon;531;GER;26;1991.05.18;96;198;0-0;0;13,755;488;0-0;0;39,500
RafaelMatos;532;BRA;21;1996.01.06;74;183;0-0;0;4,473;357;0-0;0;31,802
GenaroAlbertoOlivieri;533;ARG;19;1998.08.04;73;175;0-0;0;10,691;494;0-0;0;13,677
LukasKlein;534;SVK;19;1998.03.22;85;193;0-0;0;11,768;526;0-0;0;19,837
HarryBourchier;535;AUS;21;1996.01.24;76;185;0-0;0;5,786;345;0-0;0;66,319
EdoardoEremin;536;ITA;24;1993.10.05;95;185;0-0;0;8,727;292;0-0;0;83,918
MarvinNetuschil;537;GER;26;1991.07.02;75;183;0-0;0;9,356;306;0-0;0;46,911
AdrienBossel;538;SUI;31;1986.12.28;;;0-1;0;13,046;262;0-5;0;159,336
NunoBorges;539;POR;20;1997.02.19;73;185;0-0;0;8,039;534;0-0;0;12,763
JoaoMenezes;540;BRA;21;1996.12.17;80;185;0-0;0;10,556;495;0-0;0;30,795
PeterTorebko;541;GER;29;1988.02.10;84;185;0-0;0;4,565;421;0-0;0;196,130
SidharthRawat;542;IND;24;1993.04.21;70;175;0-0;0;12,212;496;0-0;0;37,673
MatiasFrancoDescotte;543;ARG;23;1994.08.29;;;0-0;0;4,889;333;0-0;0;36,312
RonnieSchneider;544;USA;23;1994.09.27;70;175;0-0;0;10,687;544;0-0;0;24,372
DenisYevseyev;545;KAZ;24;1993.05.22;;;0-0;0;12,123;523;0-0;0;68,463
JacobGrills;546;AUS;22;1995.06.18;;;0-0;0;9,318;529;0-0;0;41,945
LjubomirCelebic;547;MNE;26;1991.09.15;70;175;0-0;0;9,335;437;0-0;0;36,862
AndreaVavassori;548;ITA;22;1995.05.05;78;193;0-0;0;12,541;174;0-0;0;44,812
PeterKobelt;549;USA;27;1990.11.17;91;201;0-0;0;10,726;332;0-0;0;56,942
RomainBarbosa;550;BEL;23;1994.04.17;85;185;0-0;0;9,790;403;0-0;0;50,389
JelleSels;551;NED;22;1995.08.10;83;188;0-0;0;10,530;551;0-0;0;34,468
JonathanGray;552;GBR;20;1997.04.09;74;185;0-0;0;9,978;550;0-0;0;17,570
PascalMeis;553;GER;24;1993.06.11;;;0-0;0;4,443;458;0-0;0;40,293
GianniMina;554;FRA;25;1992.02.09;85;188;0-0;0;10,349;219;1-4;0;150,509
